Speed Camera Report Listing for Speeds gt 17 and lt 50,,,,37.03,27.90
Date,Hour,Speed,Direction,25.81,
20190807,16,17.01,R2L,,
20190807,12,17.01,R2L,,
20190808,16,17.01,R2L,,
20190808,14,17.01,R2L,,
20190811,9,17.01,R2L,,
20190812,13,17.01,R2L,,
20190813,12,17.01,L2R,,
20190820,18,17.01,R2L,,
20190820,10,17.01,R2L,,
20190822,9,17.01,R2L,,
20190824,15,17.01,R2L,,
20190825,14,17.01,R2L,,
20190827,11,17.01,L2R,,
20190809,15,17.02,L2R,,
20190814,7,17.02,R2L,,
20190815,7,17.02,R2L,,
20190820,13,17.02,R2L,,
20190822,13,17.02,L2R,,
20190823,16,17.02,R2L,,
20190824,9,17.02,R2L,,
20190825,17,17.02,L2R,,
20190827,13,17.02,R2L,,
20190827,10,17.02,L2R,,
20190808,16,17.03,L2R,,
20190808,9,17.03,L2R,,
20190812,8,17.03,L2R,,
20190817,14,17.03,L2R,,
20190818,15,17.03,R2L,,
20190818,15,17.03,R2L,,
20190819,15,17.03,L2R,,
20190824,12,17.03,R2L,,
20190826,11,17.03,R2L,,
20190808,11,17.04,R2L,,
20190809,10,17.04,R2L,,
20190812,13,17.04,R2L,,
20190814,8,17.04,R2L,,
20190816,12,17.04,R2L,,
20190818,6,17.04,R2L,,
20190819,17,17.04,R2L,,
20190819,11,17.04,R2L,,
20190825,11,17.04,L2R,,
20190808,16,17.05,R2L,,
20190812,14,17.05,L2R,,
20190815,14,17.05,R2L,,
20190816,16,17.05,R2L,,
20190816,10,17.05,R2L,,
20190819,7,17.05,L2R,,
20190807,21,17.06,L2R,,
20190808,14,17.06,L2R,,
20190808,11,17.06,L2R,,
20190812,19,17.06,L2R,,
20190812,8,17.06,L2R,,
20190812,6,17.06,L2R,,
20190813,16,17.06,L2R,,
20190814,16,17.06,R2L,,
20190814,15,17.06,R2L,,
20190818,9,17.06,R2L,,
20190819,11,17.06,R2L,,
20190824,10,17.06,R2L,,
20190825,9,17.06,L2R,,
20190808,16,17.07,R2L,,
20190813,17,17.07,L2R,,
20190814,16,17.07,R2L,,
20190814,14,17.07,R2L,,
20190815,13,17.07,R2L,,
20190815,12,17.07,R2L,,
20190815,7,17.07,R2L,,
20190817,17,17.07,R2L,,
20190817,12,17.07,L2R,,
20190827,14,17.07,L2R,,
20190809,11,17.08,R2L,,
20190811,16,17.08,R2L,,
20190821,15,17.08,R2L,,
20190823,15,17.08,R2L,,
20190827,17,17.08,R2L,,
20190808,15,17.09,R2L,,
20190809,11,17.09,R2L,,
20190815,15,17.09,R2L,,
20190816,11,17.09,L2R,,
20190819,14,17.09,R2L,,
20190819,12,17.09,R2L,,
20190823,18,17.09,L2R,,
20190824,15,17.09,R2L,,
20190807,10,17.10,L2R,,
20190807,8,17.10,R2L,,
20190808,16,17.10,R2L,,
20190811,16,17.10,L2R,,
20190813,16,17.10,R2L,,
20190816,11,17.10,R2L,,
20190817,11,17.10,R2L,,
20190822,8,17.10,R2L,,
20190825,15,17.10,L2R,,
20190826,12,17.10,R2L,,
20190827,15,17.10,L2R,,
20190827,13,17.10,R2L,,
20190827,10,17.10,R2L,,
20190807,11,17.11,R2L,,
20190808,15,17.11,L2R,,
20190809,6,17.11,R2L,,
20190814,15,17.11,R2L,,
20190814,12,17.11,R2L,,
20190815,8,17.11,R2L,,
20190819,17,17.11,R2L,,
20190823,17,17.11,L2R,,
20190825,11,17.11,L2R,,
20190808,15,17.12,R2L,,
20190814,10,17.12,L2R,,
20190818,12,17.12,R2L,,
20190819,14,17.12,R2L,,
20190824,17,17.12,R2L,,
20190825,8,17.12,L2R,,
20190827,13,17.12,R2L,,
20190807,17,17.13,R2L,,
20190808,12,17.13,L2R,,
20190809,16,17.13,R2L,,
20190809,14,17.13,R2L,,
20190811,12,17.13,R2L,,
20190811,6,17.13,R2L,,
20190822,10,17.13,R2L,,
20190823,15,17.13,R2L,,
20190807,12,17.14,R2L,,
20190808,15,17.14,R2L,,
20190811,12,17.14,R2L,,
20190811,12,17.14,R2L,,
20190813,10,17.14,R2L,,
20190815,15,17.14,R2L,,
20190815,9,17.14,R2L,,
20190819,15,17.14,R2L,,
20190819,12,17.14,L2R,,
20190821,9,17.14,R2L,,
20190823,9,17.14,L2R,,
20190823,8,17.14,R2L,,
20190825,11,17.14,R2L,,
20190808,12,17.15,R2L,,
20190810,15,17.15,L2R,,
20190819,15,17.15,R2L,,
20190820,13,17.15,R2L,,
20190808,11,17.16,R2L,,
20190809,11,17.16,L2R,,
20190811,13,17.16,R2L,,
20190812,14,17.16,R2L,,
20190813,11,17.16,R2L,,
20190815,8,17.16,R2L,,
20190825,16,17.16,R2L,,
20190826,13,17.16,L2R,,
20190827,15,17.16,R2L,,
20190808,13,17.17,R2L,,
20190811,13,17.17,R2L,,
20190812,16,17.17,R2L,,
20190815,7,17.17,R2L,,
20190816,16,17.17,R2L,,
20190823,16,17.17,L2R,,
20190824,12,17.17,R2L,,
20190825,13,17.17,R2L,,
20190826,7,17.17,R2L,,
20190809,11,17.18,L2R,,
20190810,12,17.18,R2L,,
20190811,13,17.18,R2L,,
20190812,13,17.18,R2L,,
20190813,8,17.18,R2L,,
20190814,14,17.18,R2L,,
20190815,15,17.18,R2L,,
20190816,12,17.18,R2L,,
20190817,18,17.18,L2R,,
20190820,13,17.18,L2R,,
20190822,15,17.18,L2R,,
20190809,12,17.19,L2R,,
20190812,10,17.19,L2R,,
20190813,15,17.19,R2L,,
20190823,12,17.19,L2R,,
20190827,8,17.19,L2R,,
20190809,12,17.20,L2R,,
20190809,6,17.20,L2R,,
20190811,14,17.20,R2L,,
20190812,14,17.20,R2L,,
20190814,11,17.20,L2R,,
20190815,13,17.20,R2L,,
20190815,6,17.20,R2L,,
20190816,8,17.20,R2L,,
20190818,11,17.20,R2L,,
20190820,12,17.20,R2L,,
20190823,11,17.20,R2L,,
20190826,6,17.20,L2R,,
20190807,14,17.21,R2L,,
20190808,16,17.21,R2L,,
20190809,15,17.21,L2R,,
20190811,10,17.21,L2R,,
20190814,14,17.21,L2R,,
20190819,15,17.21,R2L,,
20190821,10,17.21,R2L,,
20190822,11,17.21,R2L,,
20190823,15,17.21,R2L,,
20190809,18,17.22,R2L,,
20190810,13,17.22,L2R,,
20190811,11,17.22,R2L,,
20190812,16,17.22,R2L,,
20190815,15,17.22,R2L,,
20190816,11,17.22,R2L,,
20190819,9,17.22,R2L,,
20190820,14,17.22,R2L,,
20190820,12,17.22,L2R,,
20190820,9,17.22,L2R,,
20190822,13,17.22,R2L,,
20190808,9,17.23,R2L,,
20190809,17,17.23,L2R,,
20190809,16,17.23,R2L,,
20190811,13,17.23,R2L,,
20190813,15,17.23,R2L,,
20190816,16,17.23,R2L,,
20190819,13,17.23,R2L,,
20190819,9,17.23,L2R,,
20190819,6,17.23,L2R,,
20190827,15,17.23,R2L,,
20190807,10,17.24,L2R,,
